subj_id,magnitude,vehicle,motion
1,15.418836680329807,0,0
2,19.056572758977396,0,0
3,18.198648969796444,0,0
4,14.826339320474151,0,0
5,15.827023524149968,0,0
6,15.695019719954695,0,0
1,13.269715346764219,1,0
2,11.486005459189819,1,0
3,12.2882453192532,1,0
4,16.216644997904552,1,0
5,11.013907081533809,1,0
6,11.113724906177524,1,0
1,10.570771943761674,2,0
2,10.267617610395,2,0
3,9.326553353490354,2,0
4,13.905399726496078,2,0
5,10.061899307639404,2,0
6,10.584211031318773,2,0
1,24.170991314573552,0,1
2,14.539071011967152,0,1
3,18.939191559454628,0,1
4,15.68021096138717,0,1
5,17.279137574647905,0,1
6,13.86606598046789,0,1
1,12.47786223336264,1,1
2,10.946165995283737,1,1
3,11.359126617798605,1,1
4,16.188020551382962,1,1
5,13.27091970305091,1,1
6,15.5538211348596,1,1
1,11.858415522553745,2,1
2,11.862085219829037,2,1
3,14.630547517063178,2,1
4,15.91757483494014,2,1
5,11.860529962146561,2,1
6,13.954587395861896,2,1
